CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,PaperlessBilling_Flag,TenureBucket,AvgMonthlySpendToDate
C00092,42,122,1294,Two Year,Bank Transfer,No,0,0,0,37-48,30.80952380952381
C00093,18,29,7469,Month-To-Month,Electronic Check,Yes,0,0,1,13-24,414.94444444444446
C00094,55,193,4344,Two Year,Bank Transfer,No,1,0,0,49-60,78.98181818181818
C00095,21,140,3171,One Year,Electronic Check,No,1,0,0,13-24,151.0
C00096,20,150,1780,Month-To-Month,Electronic Check,Yes,0,0,1,13-24,89.0
C00097,15,40,510,Month-To-Month,Bank Transfer,No,0,0,0,13-24,34.0
C00098,42,172,1168,Month-To-Month,Bank Transfer,No,1,0,0,37-48,27.80952380952381
C00099,10,143,3353,Two Year,Electronic Check,No,1,1,0,0-12,335.3
C00100,39,84,7566,One Year,Electronic Check,No,1,0,0,37-48,194.0
C00101,66,170,1059,Month-To-Month,Electronic Check,No,1,0,0,61-72,16.045454545454547
C00102,50,130,1087,One Year,Electronic Check,Yes,1,0,1,49-60,21.74
C00103,44,78,6369,One Year,Bank Transfer,Yes,1,0,1,37-48,144.75
C00104,7,39,6651,One Year,Electronic Check,Yes,1,0,1,0-12,950.1428571428571
C00105,3,115,5547,Two Year,Bank Transfer,No,0,1,0,0-12,1849.0
C00106,21,75,7026,Two Year,Bank Transfer,Yes,1,0,1,13-24,334.57142857142856
C00107,3,59,7111,Month-To-Month,Credit Card,Yes,1,1,1,0-12,2370.3333333333335
C00108,18,56,7925,One Year,Electronic Check,No,0,0,0,13-24,440.27777777777777
C00109,48,152,4042,One Year,Electronic Check,Yes,1,0,1,37-48,84.20833333333333
C00110,32,24,2939,Two Year,Electronic Check,Yes,1,0,1,25-36,91.84375
C00111,41,88,3461,One Year,Bank Transfer,Yes,1,0,1,37-48,84.41463414634147
C00112,55,87,3353,Two Year,Credit Card,No,1,0,0,49-60,60.96363636363636
C00113,15,102,1746,Month-To-Month,Credit Card,No,1,0,0,13-24,116.4
C00114,31,111,2539,Month-To-Month,Credit Card,No,0,0,0,25-36,81.90322580645162
C00115,33,160,2315,One Year,Bank Transfer,No,0,0,0,25-36,70.15151515151516
C00116,70,164,5320,One Year,Credit Card,No,0,0,0,61-72,76.0
C00117,14,187,2225,Two Year,Electronic Check,Yes,0,0,1,13-24,158.92857142857142
C00118,35,98,4023,Two Year,Bank Transfer,Yes,0,0,1,25-36,114.94285714285714
C00119,56,83,562,Month-To-Month,Bank Transfer,Yes,0,0,1,49-60,10.035714285714286
C00120,62,75,2451,One Year,Credit Card,No,0,0,0,61-72,39.53225806451613
C00121,30,107,6906,One Year,Credit Card,Yes,1,0,1,25-36,230.2
C00122,15,147,2687,One Year,Electronic Check,No,0,0,0,13-24,179.13333333333333
C00123,41,114,2419,Two Year,Bank Transfer,No,1,0,0,37-48,59.0
C00124,27,50,2751,Two Year,Electronic Check,Yes,1,0,1,25-36,101.88888888888889
C00125,4,177,950,Month-To-Month,Credit Card,Yes,0,1,1,0-12,237.5
C00126,62,183,7208,Two Year,Electronic Check,Yes,1,0,1,61-72,116.25806451612904
C00127,31,62,5887,One Year,Bank Transfer,No,1,0,0,25-36,189.90322580645162
C00128,13,137,7128,One Year,Bank Transfer,Yes,0,0,1,13-24,548.3076923076923
C00129,20,179,2692,Month-To-Month,Bank Transfer,Yes,1,0,1,13-24,134.6
C00130,8,174,3979,Two Year,Credit Card,Yes,0,1,1,0-12,497.375
C00131,2,125,7858,Month-To-Month,Electronic Check,No,1,1,0,0-12,3929.0
C00132,3,79,891,Month-To-Month,Credit Card,No,1,1,0,0-12,297.0
C00133,48,92,5908,Two Year,Bank Transfer,Yes,0,0,1,37-48,123.08333333333333
C00134,15,28,6569,Month-To-Month,Credit Card,No,1,0,0,13-24,437.93333333333334
C00135,64,101,5706,Month-To-Month,Bank Transfer,Yes,1,0,1,61-72,89.15625
C00136,52,152,4318,Two Year,Bank Transfer,Yes,0,0,1,49-60,83.03846153846153
C00137,10,134,4476,Month-To-Month,Electronic Check,No,0,1,0,0-12,447.6
C00138,30,188,4095,Two Year,Electronic Check,Yes,0,0,1,25-36,136.5
C00139,27,67,3567,Month-To-Month,Credit Card,Yes,1,0,1,25-36,132.11111111111111
C00140,2,184,5021,One Year,Electronic Check,Yes,1,1,1,0-12,2510.5
C00141,46,112,6817,Two Year,Electronic Check,No,0,0,0,37-48,148.19565217391303
C00142,11,115,1713,Two Year,Bank Transfer,Yes,1,1,1,0-12,155.72727272727272
C00143,64,167,3677,Month-To-Month,Bank Transfer,No,0,0,0,61-72,57.453125
C00144,65,47,5540,One Year,Bank Transfer,Yes,1,0,1,61-72,85.23076923076923
C00145,21,173,7651,Two Year,Bank Transfer,Yes,0,0,1,13-24,364.3333333333333
C00146,29,42,2058,One Year,Credit Card,No,1,0,0,25-36,70.96551724137932
C00147,6,133,7448,One Year,Credit Card,No,0,1,0,0-12,1241.3333333333333
C00148,34,24,2004,Two Year,Bank Transfer,Yes,1,0,1,25-36,58.94117647058823
C00149,20,114,1250,One Year,Bank Transfer,Yes,0,0,1,13-24,62.5
C00150,42,132,3139,Month-To-Month,Electronic Check,No,0,0,0,37-48,74.73809523809524
C00151,5,105,5965,One Year,Credit Card,No,0,1,0,0-12,1193.0
C00152,45,139,7654,Month-To-Month,Credit Card,No,1,0,0,37-48,170.0888888888889
C00153,21,156,6366,Two Year,Electronic Check,No,0,0,0,13-24,303.14285714285717
C00154,37,158,3355,Two Year,Electronic Check,No,0,0,0,37-48,90.67567567567568
C00155,68,40,5920,Month-To-Month,Bank Transfer,Yes,1,0,1,61-72,87.05882352941177
C00156,26,148,4601,One Year,Bank Transfer,Yes,0,0,1,25-36,176.96153846153845
C00157,26,78,5632,Two Year,Electronic Check,Yes,1,0,1,25-36,216.6153846153846
C00158,1,86,7217,Two Year,Bank Transfer,Yes,0,0,1,0-12,7217.0
C00159,47,182,3250,One Year,Electronic Check,No,1,0,0,37-48,69.14893617021276
C00160,30,154,4096,One Year,Bank Transfer,Yes,0,0,1,25-36,136.53333333333333
C00161,51,78,984,Month-To-Month,Electronic Check,Yes,1,0,1,49-60,19.294117647058822
C00162,13,90,347,One Year,Electronic Check,Yes,0,0,1,13-24,26.692307692307693
C00163,64,185,3916,One Year,Credit Card,Yes,1,0,1,61-72,61.1875
C00164,60,171,220,Month-To-Month,Credit Card,No,1,0,0,49-60,3.6666666666666665
C00165,69,48,3419,One Year,Bank Transfer,Yes,1,0,1,61-72,49.55072463768116
C00166,40,105,791,One Year,Credit Card,Yes,0,0,1,37-48,19.775
C00167,23,110,6723,Two Year,Bank Transfer,Yes,1,0,1,13-24,292.30434782608694
C00168,42,80,5832,One Year,Electronic Check,No,1,0,0,37-48,138.85714285714286
C00169,13,99,2938,Month-To-Month,Credit Card,No,0,0,0,13-24,226.0
C00170,24,84,6882,One Year,Credit Card,Yes,0,0,1,13-24,286.75
C00171,22,61,5363,Two Year,Bank Transfer,Yes,1,0,1,13-24,243.77272727272728
C00172,10,115,3717,One Year,Electronic Check,Yes,0,1,1,0-12,371.7
C00173,62,160,1811,Month-To-Month,Credit Card,Yes,1,0,1,61-72,29.20967741935484
C00174,5,145,1090,Month-To-Month,Credit Card,No,1,1,0,0-12,218.0
C00175,20,76,6396,Two Year,Credit Card,Yes,1,0,1,13-24,319.8
C00176,68,67,1797,Two Year,Electronic Check,No,1,0,0,61-72,26.426470588235293
C00177,42,50,279,One Year,Electronic Check,No,0,0,0,37-48,6.642857142857143
C00178,3,180,3232,One Year,Bank Transfer,No,0,0,0,0-12,1077.3333333333333
C00179,68,193,3285,One Year,Credit Card,No,0,0,0,61-72,48.30882352941177
C00180,52,39,3233,Two Year,Credit Card,Yes,1,0,1,49-60,62.17307692307692
C00181,4,135,4742,Month-To-Month,Credit Card,No,1,1,0,0-12,1185.5
C00182,13,64,4297,Month-To-Month,Bank Transfer,Yes,1,0,1,13-24,330.53846153846155
C00183,56,151,735,Two Year,Credit Card,Yes,1,0,1,49-60,13.125
C00184,61,29,2290,One Year,Credit Card,Yes,0,0,1,61-72,37.540983606557376
C00185,47,130,2289,Month-To-Month,Bank Transfer,Yes,0,0,1,37-48,48.702127659574465
C00186,59,93,7342,Month-To-Month,Bank Transfer,No,0,0,0,49-60,124.44067796610169
C00187,47,199,6905,Two Year,Electronic Check,Yes,1,0,1,37-48,146.91489361702128
C00188,49,163,3776,One Year,Bank Transfer,No,0,0,0,49-60,77.06122448979592
C00189,31,100,4971,One Year,Electronic Check,Yes,0,0,1,25-36,160.3548387096774
C00190,52,185,7330,Two Year,Credit Card,Yes,0,0,1,49-60,140.96153846153845
C00191,46,51,466,One Year,Bank Transfer,Yes,0,0,1,37-48,10.130434782608695
C00192,43,31,7992,Month-To-Month,Credit Card,No,0,0,0,37-48,185.86046511627907
C00193,65,158,3712,One Year,Credit Card,No,0,0,0,61-72,57.10769230769231
C00194,71,138,6231,Month-To-Month,Electronic Check,No,0,0,0,61-72,87.7605633802817
C00195,27,121,4317,One Year,Bank Transfer,No,0,0,0,25-36,159.88888888888889
C00196,30,133,3029,Month-To-Month,Credit Card,Yes,1,0,1,25-36,100.96666666666667
C00197,37,152,2750,One Year,Credit Card,No,0,0,0,37-48,74.32432432432432
C00198,37,34,6987,Month-To-Month,Electronic Check,No,1,0,0,37-48,188.83783783783784
C00199,3,63,1535,Two Year,Electronic Check,No,0,0,0,0-12,511.6666666666667
C00200,42,143,7310,One Year,Electronic Check,Yes,0,0,1,37-48,174.04761904761904
C00201,50,170,3185,Two Year,Electronic Check,No,0,0,0,49-60,63.7
C00202,50,169,159,One Year,Bank Transfer,No,0,0,0,49-60,3.18
C00203,29,189,5035,One Year,Credit Card,Yes,1,0,1,25-36,173.6206896551724
C00204,15,55,5421,Two Year,Credit Card,No,0,0,0,13-24,361.4
C00205,69,40,3396,Month-To-Month,Credit Card,Yes,0,0,1,61-72,49.21739130434783
C00206,69,94,5765,Month-To-Month,Electronic Check,Yes,0,0,1,61-72,83.55072463768116
C00207,57,32,4351,One Year,Bank Transfer,No,0,0,0,49-60,76.33333333333333
C00208,70,171,4801,Month-To-Month,Electronic Check,No,0,0,0,61-72,68.58571428571429
C00209,46,199,4023,Month-To-Month,Electronic Check,Yes,0,0,1,37-48,87.45652173913044
C00210,65,82,7742,Two Year,Credit Card,Yes,0,0,1,61-72,119.1076923076923
C00211,65,113,2956,Month-To-Month,Credit Card,Yes,0,0,1,61-72,45.47692307692308
C00212,51,160,4278,Two Year,Credit Card,No,1,0,0,49-60,83.88235294117646
C00213,44,59,1893,Month-To-Month,Credit Card,Yes,0,0,1,37-48,43.02272727272727
C00214,7,142,3099,Month-To-Month,Bank Transfer,No,1,1,0,0-12,442.7142857142857
C00215,59,29,1393,One Year,Electronic Check,Yes,0,0,1,49-60,23.610169491525422
C00216,8,102,2161,One Year,Bank Transfer,Yes,1,0,1,0-12,270.125
C00217,10,152,5250,Month-To-Month,Credit Card,Yes,1,1,1,0-12,525.0
C00218,67,182,6193,Two Year,Bank Transfer,Yes,0,0,1,61-72,92.43283582089552
C00219,45,177,3091,One Year,Bank Transfer,No,0,0,0,37-48,68.68888888888888
C00220,33,198,2226,Two Year,Bank Transfer,Yes,0,0,1,25-36,67.45454545454545
C00221,57,118,5412,Two Year,Credit Card,No,1,0,0,49-60,94.94736842105263
C00222,67,37,1247,Month-To-Month,Credit Card,No,1,0,0,61-72,18.611940298507463
C00223,31,70,1256,Month-To-Month,Credit Card,No,0,0,0,25-36,40.516129032258064
C00224,19,43,6118,One Year,Electronic Check,Yes,0,0,1,13-24,322.0
C00225,40,156,7024,One Year,Electronic Check,No,0,0,0,37-48,175.6
C00226,24,142,7012,One Year,Credit Card,Yes,0,0,1,13-24,292.1666666666667
C00227,57,123,5830,Month-To-Month,Bank Transfer,Yes,0,0,1,49-60,102.28070175438596
C00228,53,183,4023,Two Year,Electronic Check,Yes,1,0,1,49-60,75.90566037735849
C00229,24,32,1635,One Year,Bank Transfer,No,1,0,0,13-24,68.125
C00230,32,149,5477,Two Year,Bank Transfer,No,1,0,0,25-36,171.15625
C00231,33,99,3225,One Year,Credit Card,No,1,0,0,25-36,97.72727272727273
C00232,20,151,2681,One Year,Credit Card,No,1,0,0,13-24,134.05
C00233,12,52,7459,Two Year,Electronic Check,No,0,0,0,0-12,621.5833333333334
C00234,61,24,217,One Year,Electronic Check,No,1,0,0,61-72,3.557377049180328
C00235,65,94,7183,One Year,Bank Transfer,No,1,0,0,61-72,110.50769230769231
C00236,13,115,6305,Two Year,Credit Card,No,1,0,0,13-24,485.0
C00237,61,51,810,One Year,Bank Transfer,No,0,0,0,61-72,13.278688524590164
C00238,33,151,6705,Month-To-Month,Bank Transfer,No,1,0,0,25-36,203.1818181818182
C00239,21,138,6404,Two Year,Credit Card,Yes,1,0,1,13-24,304.95238095238096
C00240,56,108,6378,Two Year,Bank Transfer,Yes,1,0,1,49-60,113.89285714285714
C00241,69,121,7669,One Year,Electronic Check,Yes,0,0,1,61-72,111.14492753623189
C00242,16,196,7704,Two Year,Electronic Check,No,0,0,0,13-24,481.5
C00243,28,33,1099,Two Year,Credit Card,No,1,0,0,25-36,39.25
C00244,53,123,4561,One Year,Bank Transfer,Yes,1,0,1,49-60,86.05660377358491
C00245,23,104,2991,Two Year,Electronic Check,No,0,0,0,13-24,130.04347826086956
C00246,15,60,3032,Month-To-Month,Bank Transfer,No,1,0,0,13-24,202.13333333333333
C00247,43,130,6856,One Year,Bank Transfer,No,0,0,0,37-48,159.4418604651163
C00248,60,48,4747,One Year,Bank Transfer,No,1,0,0,49-60,79.11666666666666
C00249,48,79,3083,One Year,Bank Transfer,Yes,1,0,1,37-48,64.22916666666667
C00250,58,90,3841,Two Year,Electronic Check,No,1,0,0,49-60,66.22413793103448
C00251,24,48,1639,Month-To-Month,Electronic Check,Yes,0,0,1,13-24,68.29166666666667
C00252,9,138,515,Two Year,Credit Card,No,0,1,0,0-12,57.22222222222222
C00253,55,71,1965,Two Year,Credit Card,Yes,1,0,1,49-60,35.72727272727273
C00254,26,182,3882,Month-To-Month,Electronic Check,Yes,0,0,1,25-36,149.30769230769232
C00255,31,88,4230,Two Year,Electronic Check,No,1,0,0,25-36,136.4516129032258
C00256,29,178,7961,Two Year,Electronic Check,Yes,0,0,1,25-36,274.51724137931035
C00257,65,30,6769,Month-To-Month,Credit Card,No,0,0,0,61-72,104.13846153846154
C00258,50,120,1839,Two Year,Credit Card,Yes,0,0,1,49-60,36.78
C00259,54,191,6674,Two Year,Credit Card,No,1,0,0,49-60,123.5925925925926
C00260,31,85,1935,One Year,Electronic Check,Yes,0,0,1,25-36,62.41935483870968
C00261,49,41,7108,Two Year,Bank Transfer,Yes,1,0,1,49-60,145.0612244897959
C00262,44,176,4069,Two Year,Bank Transfer,No,0,0,0,37-48,92.47727272727273
C00263,1,39,2429,Month-To-Month,Credit Card,Yes,1,1,1,0-12,2429.0
C00264,71,156,812,One Year,Credit Card,No,0,0,0,61-72,11.43661971830986
C00265,34,172,1619,Two Year,Electronic Check,Yes,1,0,1,25-36,47.61764705882353
C00266,6,115,1677,Two Year,Bank Transfer,Yes,1,0,1,0-12,279.5
C00267,29,92,1792,Month-To-Month,Credit Card,Yes,0,0,1,25-36,61.793103448275865
C00268,69,177,2153,Two Year,Bank Transfer,No,0,0,0,61-72,31.202898550724637
C00269,19,63,1186,Two Year,Electronic Check,No,1,0,0,13-24,62.421052631578945
C00270,43,81,7187,Two Year,Credit Card,No,1,0,0,37-48,167.13953488372093
C00271,8,160,7182,Month-To-Month,Bank Transfer,No,1,1,0,0-12,897.75
C00272,43,85,6192,One Year,Credit Card,Yes,1,0,1,37-48,144.0
C00273,29,64,6131,One Year,Electronic Check,Yes,0,0,1,25-36,211.41379310344828
C00274,67,142,1008,Month-To-Month,Electronic Check,No,1,0,0,61-72,15.044776119402986
C00275,66,196,2989,Month-To-Month,Electronic Check,No,0,0,0,61-72,45.28787878787879
C00276,49,94,4521,One Year,Bank Transfer,Yes,1,0,1,49-60,92.26530612244898
C00277,58,174,1493,Two Year,Credit Card,No,0,0,0,49-60,25.74137931034483
C00278,3,72,4282,One Year,Credit Card,Yes,0,0,1,0-12,1427.3333333333333
C00279,66,128,7087,One Year,Electronic Check,No,1,0,0,61-72,107.37878787878788
C00280,57,43,6209,Two Year,Bank Transfer,No,1,0,0,49-60,108.9298245614035
C00281,17,25,7759,Two Year,Credit Card,No,1,0,0,13-24,456.4117647058824
C00282,18,158,7475,Two Year,Electronic Check,Yes,0,0,1,13-24,415.27777777777777
C00283,2,56,7493,Month-To-Month,Electronic Check,No,1,1,0,0-12,3746.5
C00284,13,94,261,Month-To-Month,Bank Transfer,Yes,0,0,1,13-24,20.076923076923077
C00285,26,171,6538,Two Year,Credit Card,Yes,0,0,1,25-36,251.46153846153845
C00286,48,80,6186,Month-To-Month,Electronic Check,Yes,1,0,1,37-48,128.875
C00287,11,60,627,One Year,Electronic Check,No,0,0,0,0-12,57.0
C00288,42,83,1173,One Year,Bank Transfer,Yes,0,0,1,37-48,27.928571428571427
C00289,22,58,6472,One Year,Electronic Check,No,1,0,0,13-24,294.1818181818182
C00290,57,123,5518,One Year,Credit Card,Yes,1,0,1,49-60,96.80701754385964
C00291,63,177,5573,One Year,Credit Card,Yes,0,0,1,61-72,88.46031746031746
C00292,65,59,6420,Two Year,Credit Card,No,0,0,0,61-72,98.76923076923077
C00293,13,140,727,One Year,Bank Transfer,Yes,0,0,1,13-24,55.92307692307692
C00294,70,128,5423,Month-To-Month,Bank Transfer,Yes,0,0,1,61-72,77.47142857142858
C00295,6,59,6657,Two Year,Credit Card,No,0,0,0,0-12,1109.5
C00296,66,44,1995,One Year,Electronic Check,Yes,0,0,1,61-72,30.227272727272727
C00297,15,163,4659,Month-To-Month,Credit Card,No,0,0,0,13-24,310.6
C00298,66,136,7139,Month-To-Month,Bank Transfer,No,0,0,0,61-72,108.16666666666667
C00299,47,193,5219,Two Year,Credit Card,No,1,0,0,37-48,111.04255319148936
C00300,26,93,3151,One Year,Electronic Check,Yes,0,0,1,25-36,121.1923076923077
C00301,14,176,5655,One Year,Credit Card,Yes,1,0,1,13-24,403.92857142857144
C00302,65,84,1193,Month-To-Month,Electronic Check,No,1,0,0,61-72,18.353846153846153
C00303,58,128,7204,Month-To-Month,Bank Transfer,Yes,0,0,1,49-60,124.20689655172414
C00304,21,179,840,One Year,Bank Transfer,Yes,1,0,1,13-24,40.0
C00305,61,61,7474,Month-To-Month,Credit Card,No,1,0,0,61-72,122.52459016393442
C00306,11,88,7410,One Year,Credit Card,No,0,0,0,0-12,673.6363636363636
C00307,20,107,2288,Two Year,Bank Transfer,Yes,1,0,1,13-24,114.4
C00308,55,169,1513,Two Year,Electronic Check,No,0,0,0,49-60,27.509090909090908
C00309,9,149,1431,Month-To-Month,Electronic Check,No,0,1,0,0-12,159.0
C00310,41,98,7631,One Year,Bank Transfer,Yes,0,0,1,37-48,186.1219512195122
C00311,58,72,6062,Month-To-Month,Bank Transfer,No,0,0,0,49-60,104.51724137931035
C00312,61,177,5838,Month-To-Month,Credit Card,Yes,1,0,1,61-72,95.70491803278688
C00313,32,100,7901,One Year,Credit Card,Yes,0,0,1,25-36,246.90625
C00314,46,192,169,Month-To-Month,Bank Transfer,Yes,0,0,1,37-48,3.6739130434782608
C00315,28,185,4320,One Year,Credit Card,No,0,0,0,25-36,154.28571428571428
C00316,39,166,805,One Year,Credit Card,No,1,0,0,37-48,20.641025641025642
C00317,61,99,6541,Month-To-Month,Electronic Check,No,0,0,0,61-72,107.22950819672131
